"PROVRES","TIPPARTO","SEXO","IMEDAD","ITIEMGEST","IMINSTRUC","IPESONAC","CUENTA"
"90","1","2","5.30 a 34","3.24 a 27","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","3"
"99","1","2","1.Menor de 15","6.37 a 41","4.Sin especificar","2.2500 gramos y más","4"
"22","2","1","3.20 a 24","6.37 a 41","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","1"
"42","2","2","3.20 a 24","6.37 a 41","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","1"
"90","1","2","3.20 a 24","5.32 a 36","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","34"
"02","2","1","3.20 a 24","6.37 a 41","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","2"
"42","1","1","5.30 a 34","5.32 a 36","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","8"
"58","1","2","7.40 a 44","5.32 a 36","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","2"
"70","1","1","6.35 a 39","4.28 a 31","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","5"
"06","1","1","5.30 a 34","8.Sin especificar","3.Secundario/Polimodal Completa y más","3.Sin especificar","29"
"02","1","2","6.35 a 39","6.37 a 41","3.Secundario/Polimodal Completa y más","3.Sin especificar","5"
"86","1","1","4.25 a 29","3.24 a 27","3.Secundario/Polimodal Completa y más","3.Sin especificar","1"
"90","1","2","4.25 a 29","8.Sin especificar","4.Sin especificar","3.Sin especificar","2"
"82","2","1","5.30 a 34","6.37 a 41","4.Sin especificar","2.2500 gramos y más","1"
"54","1","1","3.20 a 24","5.32 a 36","4.Sin especificar","1.Menos de 2500 gramos","1"
"90","2","2","3.20 a 24","2.22 a 23","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","1"
"34","2","2","3.20 a 24","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","4"
"06","1","2","7.40 a 44","5.32 a 36","1.Hasta Primaria/C.EGB Completa","3.Sin especificar","7"
"54","2","2","2.15 a 19","6.37 a 41","2.Secundaria/Polimodal Incompleta","2.2500 gramos y más","2"
"22","2","1","4.25 a 29","6.37 a 41","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","5"
"18","1","2","5.30 a 34","6.37 a 41","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","687"
"18","1","1","4.25 a 29","6.37 a 41","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","842"
"66","1","2","4.25 a 29","7.42 y más","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","11"
"14","1","1","4.25 a 29","3.24 a 27","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","1"
"82","1","2","2.15 a 19","5.32 a 36","4.Sin especificar","1.Menos de 2500 gramos","2"
"06","1","2","5.30 a 34","8.Sin especificar","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","139"
"18","1","2","9.Sin especificar","8.Sin especificar","4.Sin especificar","3.Sin especificar","3"
"82","1","2","6.35 a 39","8.Sin especificar","3.Secundario/Polimodal Completa y más","3.Sin especificar","2"
"18","1","2","1.Menor de 15","5.32 a 36","4.Sin especificar","2.2500 gramos y más","1"
"70","1","1","5.30 a 34","5.32 a 36","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","21"
"70","1","1","8.De 45 y más","6.37 a 41","2.Secundaria/Polimodal Incompleta","2.2500 gramos y más","1"
"70","1","2","6.35 a 39","5.32 a 36","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","6"
"22","1","1","4.25 a 29","8.Sin especificar","2.Secundaria/Polimodal Incompleta","3.Sin especificar","2"
"10","1","1","9.Sin especificar","6.37 a 41","4.Sin especificar","2.2500 gramos y más","2"
"34","2","1","3.20 a 24","6.37 a 41","2.Secundaria/Polimodal Incompleta","2.2500 gramos y más","1"
"86","1","2","5.30 a 34","4.28 a 31","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","1"
"46","1","9","6.35 a 39","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","1"
"06","2","1","6.35 a 39","6.37 a 41","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","87"
"58","1","2","6.35 a 39","6.37 a 41","4.Sin especificar","2.2500 gramos y más","1"
"22","2","2","6.35 a 39","6.37 a 41","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","1"
"54","1","1","1.Menor de 15","6.37 a 41","1.Hasta Primaria/C.EGB Completa","3.Sin especificar","1"
"78","1","2","3.20 a 24","5.32 a 36","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","6"
"10","1","1","2.15 a 19","5.32 a 36","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","9"
"58","1","2","3.20 a 24","7.42 y más","2.Secundaria/Polimodal Incompleta","2.2500 gramos y más","3"
"18","1","2","4.25 a 29","8.Sin especificar","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","3"
"02","1","1","7.40 a 44","4.28 a 31","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","1"
"38","2","2","7.40 a 44","5.32 a 36","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","1"
"30","1","1","5.30 a 34","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","519"
"86","1","1","3.20 a 24","8.Sin especificar","1.Hasta Primaria/C.EGB Completa","3.Sin especificar","1"
"18","2","2","3.20 a 24","5.32 a 36","4.Sin especificar","1.Menos de 2500 gramos","1"
"94","1","2","2.15 a 19","4.28 a 31","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","1"
"14","1","2","2.15 a 19","3.24 a 27","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","5"
"26","2","1","5.30 a 34","6.37 a 41","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","3"
"02","1","2","4.25 a 29","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","768"
"58","2","1","3.20 a 24","5.32 a 36","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","2"
"86","1","2","2.15 a 19","3.24 a 27","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","1"
"30","1","2","6.35 a 39","4.28 a 31","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","1"
"99","1","1","3.20 a 24","5.32 a 36","3.Secundario/Polimodal Completa y más","3.Sin especificar","1"
"30","2","1","7.40 a 44","6.37 a 41","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","2"
"18","1","1","4.25 a 29","5.32 a 36","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","11"
"30","1","2","3.20 a 24","7.42 y más","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","29"
"82","1","1","2.15 a 19","7.42 y más","2.Secundaria/Polimodal Incompleta","2.2500 gramos y más","5"
"34","1","1","7.40 a 44","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","73"
"30","1","2","3.20 a 24","4.28 a 31","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","4"
"06","2","1","2.15 a 19","6.37 a 41","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","1"
"18","1","1","8.De 45 y más","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","2"
